iteration,owner_loss,other_loss,u1,u2,u3
3,0.63,0.72,3690.0,11890.0,2950.0
3,0.63,0.73,5039.0,12373.0,6664.0
3,0.63,0.74,5780.0,10523.0,4160.0
3,0.63,0.75,5469.0,10319.0,7900.0
3,0.63,0.76,5423.0,12645.0,6663.0
3,0.63,0.77,4774.0,11642.0,4088.0
3,0.63,0.78,6374.0,13661.0,6261.0
3,0.63,0.79,4597.0,12944.0,4031.0
3,0.63,0.8,6402.0,14133.0,5855.0
3,0.63,0.81,4926.0,13846.0,5097.0
3,0.63,0.8200000000000001,8325.0,12490.0,5881.0
3,0.63,0.8300000000000001,5639.0,13459.0,8105.0
3,0.63,0.8400000000000001,3966.0,14119.0,6232.0
3,0.63,0.8500000000000001,6874.0,12019.0,7892.0
3,0.63,0.8600000000000001,4266.0,14114.0,9204.0
3,0.63,0.8700000000000001,3937.0,13750.0,8545.0
3,0.63,0.88,4688.0,12414.0,8773.0
3,0.63,0.89,2954.0,14698.0,9337.0
3,0.63,0.9,5673.0,16441.0,6443.0
4,0.64,0.6,4764.0,8686.0,5142.0
4,0.64,0.61,4010.0,11035.0,3143.0
4,0.64,0.62,5423.0,9454.0,3084.0
4,0.64,0.63,3734.0,8582.0,5148.0
4,0.64,0.64,4746.0,11525.0,2612.0
4,0.64,0.65,4430.0,10527.0,3164.0
4,0.64,0.66,5650.0,11113.0,4614.0
4,0.64,0.6699999999999999,5608.0,11216.0,3774.0
4,0.64,0.6799999999999999,5457.0,11607.0,3823.0
4,0.64,0.69,6030.0,11265.0,6902.0
4,0.64,0.7,6412.0,12015.0,3837.0
4,0.64,0.71,3785.0,11654.0,5433.0
4,0.64,0.72,6034.0,10750.0,6932.0
4,0.64,0.73,3980.0,12102.0,4790.0
4,0.64,0.74,6599.0,11570.0,4420.0
4,0.64,0.75,5557.0,12630.0,2427.0
4,0.64,0.76,4180.0,12092.0,6412.0
4,0.64,0.77,4819.0,11572.0,7662.0
4,0.64,0.78,3258.0,11028.0,6697.0
4,0.64,0.79,5484.0,13156.0,5939.0
4,0.64,0.8,5056.0,13070.0,4812.0
4,0.64,0.81,6423.0,15937.0,4259.0
4,0.64,0.8200000000000001,5567.0,12718.0,6510.0
4,0.64,0.8300000000000001,6579.0,13711.0,6447.0
4,0.64,0.8400000000000001,6286.0,14052.0,7419.0
4,0.64,0.8500000000000001,6264.0,14887.0,5127.0
4,0.64,0.8600000000000001,3854.0,12148.0,7789.0
4,0.64,0.8700000000000001,7043.0,13060.0,8038.0
4,0.64,0.88,5241.0,14501.0,6543.0
4,0.64,0.89,3897.0,14508.0,7039.0
4,0.64,0.9,5043.0,15698.0,9112.0
5,0.65,0.6,4969.0,9020.0,4076.0
5,0.65,0.61,5096.0,11189.0,3594.0
5,0.65,0.62,7344.0,10719.0,4169.0
5,0.65,0.63,3180.0,10759.0,3618.0
5,0.65,0.64,3704.0,11192.0,4991.0
5,0.65,0.65,4402.0,10933.0,5977.0
5,0.65,0.66,5084.0,11616.0,1684.0
5,0.65,0.6699999999999999,5346.0,11886.0,4178.0
5,0.65,0.6799999999999999,5758.0,10866.0,5624.0
5,0.65,0.69,5007.0,10399.0,4977.0
5,0.65,0.7,3454.0,12466.0,3366.0
5,0.65,0.71,4428.0,9963.0,7330.0
5,0.65,0.72,3995.0,10295.0,4219.0
5,0.65,0.73,4512.0,10004.0,5531.0
5,0.65,0.74,4465.0,9218.0,5395.0
5,0.65,0.75,3705.0,10069.0,6358.0
5,0.65,0.76,3909.0,11892.0,6724.0
5,0.65,0.77,6528.0,9954.0,5379.0
5,0.65,0.78,4977.0,15270.0,4084.0
5,0.65,0.79,5170.0,12604.0,6454.0
5,0.65,0.8,5355.0,11926.0,6189.0
5,0.65,0.81,6839.0,13160.0,5626.0
5,0.65,0.8200000000000001,6650.0,12625.0,7002.0
5,0.65,0.8300000000000001,6268.0,12439.0,9512.0
5,0.65,0.8400000000000001,7415.0,15210.0,5767.0
5,0.65,0.8500000000000001,5144.0,14400.0,6584.0
5,0.65,0.8600000000000001,7169.0,15748.0,5410.0
5,0.65,0.8700000000000001,5877.0,14885.0,7436.0
5,0.65,0.88,6053.0,13193.0,8706.0
5,0.65,0.89,6936.0,14821.0,7561.0
5,0.65,0.9,5701.0,15224.0,6109.0
6,0.66,0.6,4482.0,9328.0,1707.0
6,0.66,0.61,6207.0,11757.0,5566.0
6,0.66,0.62,5677.0,7369.0,5404.0
6,0.66,0.63,3965.0,12004.0,5014.0
6,0.66,0.64,5801.0,11263.0,2827.0
6,0.66,0.65,5939.0,12192.0,2910.0
6,0.66,0.66,5396.0,12429.0,4097.0
6,0.66,0.6699999999999999,5048.0,11557.0,3317.0
6,0.66,0.6799999999999999,5723.0,11774.0,4132.0
6,0.66,0.69,5396.0,10017.0,5843.0
6,0.66,0.7,4917.0,11741.0,5228.0
6,0.66,0.71,5780.0,12083.0,5130.0
6,0.66,0.72,7506.0,8913.0,6349.0
6,0.66,0.73,5493.0,12417.0,4375.0
6,0.66,0.74,3908.0,11460.0,4172.0
6,0.66,0.75,4067.0,10153.0,5947.0
6,0.66,0.76,4732.0,11792.0,7766.0
6,0.66,0.77,6048.0,15042.0,4317.0
6,0.66,0.78,4928.0,13029.0,6263.0
6,0.66,0.79,5371.0,13059.0,3826.0
6,0.66,0.8,4979.0,13499.0,6988.0
6,0.66,0.81,4681.0,14414.0,7581.0
6,0.66,0.8200000000000001,5447.0,12741.0,8898.0
6,0.66,0.8300000000000001,7336.0,15026.0,5628.0
6,0.66,0.8400000000000001,6760.0,12925.0,5331.0
6,0.66,0.8500000000000001,5064.0,15300.0,6388.0
6,0.66,0.8600000000000001,6284.0,15193.0,6678.0
6,0.66,0.8700000000000001,5457.0,15568.0,8466.0
6,0.66,0.88,3088.0,14216.0,8543.0
6,0.66,0.89,4389.0,16492.0,7884.0
6,0.66,0.9,6065.0,15286.0,6869.0
7,0.6699999999999999,0.6,6570.0,9728.0,4877.0
7,0.6699999999999999,0.61,4262.0,10763.0,5893.0
7,0.6699999999999999,0.62,5908.0,11763.0,4287.0
7,0.6699999999999999,0.63,5204.0,9381.0,5042.0
7,0.6699999999999999,0.64,4469.0,10332.0,3954.0
7,0.6699999999999999,0.65,6063.0,9687.0,5511.0
7,0.6699999999999999,0.66,2293.0,11770.0,5657.0
7,0.6699999999999999,0.6699999999999999,3912.0,10931.0,3996.0
7,0.6699999999999999,0.6799999999999999,5428.0,11738.0,5277.0
7,0.6699999999999999,0.69,4949.0,12221.0,6644.0
7,0.6699999999999999,0.7,6675.0,9818.0,6640.0
7,0.6699999999999999,0.71,5630.0,12434.0,4936.0
7,0.6699999999999999,0.72,6473.0,11630.0,5513.0
7,0.6699999999999999,0.73,6522.0,11392.0,4677.0
7,0.6699999999999999,0.74,5626.0,12929.0,6702.0
7,0.6699999999999999,0.75,8029.0,11798.0,5537.0
7,0.6699999999999999,0.76,6054.0,11365.0,7006.0
7,0.6699999999999999,0.77,4251.0,13082.0,6667.0
7,0.6699999999999999,0.78,5631.0,13602.0,6448.0
7,0.6699999999999999,0.79,5376.0,11467.0,9186.0
7,0.6699999999999999,0.8,6511.0,13366.0,5951.0
7,0.6699999999999999,0.81,5518.0,12245.0,7675.0
7,0.6699999999999999,0.8200000000000001,5860.0,15798.0,5654.0
7,0.6699999999999999,0.8300000000000001,6538.0,16319.0,4793.0
7,0.6699999999999999,0.8400000000000001,6403.0,14132.0,6001.0
7,0.6699999999999999,0.8500000000000001,4072.0,11870.0,6706.0
7,0.6699999999999999,0.8600000000000001,6030.0,15590.0,5141.0
7,0.6699999999999999,0.8700000000000001,4571.0,16542.0,7517.0
7,0.6699999999999999,0.88,4079.0,12947.0,9218.0
7,0.6699999999999999,0.89,8622.0,15745.0,5422.0
7,0.6699999999999999,0.9,5056.0,16564.0,8274.0
8,0.6799999999999999,0.6,4815.0,10570.0,1455.0
8,0.6799999999999999,0.61,5085.0,8352.0,4261.0
8,0.6799999999999999,0.62,4320.0,11318.0,3812.0
8,0.6799999999999999,0.63,7166.0,11313.0,5986.0
8,0.6799999999999999,0.64,5014.0,12097.0,5426.0
8,0.6799999999999999,0.65,5351.0,12263.0,4011.0
8,0.6799999999999999,0.66,5889.0,12399.0,3412.0
8,0.6799999999999999,0.6699999999999999,5138.0,12203.0,2852.0
8,0.6799999999999999,0.6799999999999999,8059.0,12746.0,4326.0
8,0.6799999999999999,0.69,7854.0,12254.0,3888.0
8,0.6799999999999999,0.7,5655.0,11889.0,5077.0
8,0.6799999999999999,0.71,6383.0,10925.0,4262.0
8,0.6799999999999999,0.72,6687.0,12081.0,4164.0
8,0.6799999999999999,0.73,5758.0,11733.0,5759.0
8,0.6799999999999999,0.74,7370.0,11127.0,4323.0
8,0.6799999999999999,0.75,6494.0,13343.0,3945.0
8,0.6799999999999999,0.76,7149.0,10448.0,5267.0
