OKRSEK (e);M(e);u1;u2;u3;o1;o2;o3
1;6352;2223;0;0;1;0;0
2;1903;666;0;0;1;0;0
3;1835;642;0;0;1;0;0
4;5103;1786;0;0;1;0;0
5;3411;1194;0;0;1;0;0
6;6472;0;2265;0;0;0.75;1
7;1384;0;484;0;0;0.75;1
8;2802;0;981;0;0;0.75;0.5
9;1795;0;305;0;0;0.75;0.5
10;2884;0;490;0;0;0.75;1
11;3697;0;0;0;0;0.75;1
12;756;0;0;0;0.5;0.75;0.5
13;651;111;0;0;0.5;0.5;0
14;743;0;0;0;0.5;0.75;0
15;1696;288;0;0;0.5;0.5;0
16;669;0;0;0;0;0.75;0
17;2279;1139;0;0;0.5;0.5;0
